                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63055,                 0.7327,                0.88812,                0.99029,                0.98268,                0.98998,                0.93053,                0.37885,                0.27022,                0.82632,              0.0033284,              0.0033284,              0.0033284
                      2,                0.24132,                0.22799,                0.80731,                0.99183,                0.98946,                0.99319,                0.90235,                0.46105,                0.28821,                0.87793,              0.0066178,              0.0066178,              0.0066178
                      3,                0.20929,                0.20863,                0.80288,                0.98331,                0.98119,                0.98735,                0.89009,                0.50532,                0.32278,                0.89225,              0.0098631,              0.0098631,              0.0098631
                      4,                0.16055,                0.17578,                0.79363,                0.98049,                0.97016,                0.99039,                0.89248,                0.49334,                0.41254,                0.89211,               0.009802,               0.009802,               0.009802
                      5,                0.12903,                0.14493,                0.78841,                0.93126,                0.97235,                0.99062,                0.87816,                0.54396,                0.65176,                0.93104,               0.009802,               0.009802,               0.009802
                      6,                 0.1129,                0.12827,                 0.7862,                0.99487,                0.97737,                0.99264,                 0.8962,                0.48217,                0.42202,                0.89833,               0.009736,               0.009736,               0.009736
                      7,                 0.1035,                0.11704,                0.78491,                 0.9236,                0.97194,                0.99112,                0.87981,                0.52032,                0.66703,                 0.9194,                0.00967,                0.00967,                0.00967
                      8,                0.09798,                0.10941,                0.78395,                0.99458,                 0.9866,                0.99413,                0.89742,                0.48848,                0.32012,                0.90324,               0.009604,               0.009604,               0.009604
                      9,                0.09332,                0.10445,                0.78318,                0.99136,                0.98615,                 0.9938,                0.90103,                 0.4685,                 0.3131,                0.90248,               0.009538,               0.009538,               0.009538
                     10,                0.08999,                 0.1004,                0.78266,                0.96271,                0.98024,                0.99254,                0.88627,                0.49746,                0.45649,                0.90976,               0.009472,               0.009472,               0.009472
                     11,                0.08753,                0.09714,                0.78226,                0.94373,                0.97979,                   0.99,                0.88313,                0.50799,                0.59177,                0.91054,               0.009406,               0.009406,               0.009406
                     12,                0.08566,                0.09455,                0.78195,                0.99272,                0.98787,                0.99374,                0.87954,                 0.5437,                0.36751,                0.93089,                0.00934,                0.00934,                0.00934
                     13,                0.08388,                0.09167,                0.78159,                0.99049,                0.98318,                0.99332,                0.88369,                0.52108,                0.39403,                0.91589,               0.009274,               0.009274,               0.009274
                     14,                0.08219,                0.08998,                0.78133,                0.98372,                0.98651,                0.99353,                0.88011,                0.54053,                0.39861,                0.93081,               0.009208,               0.009208,               0.009208
                     15,                0.08105,                0.08824,                0.78113,                0.98683,                0.98455,                0.99321,                0.88181,                0.53332,                0.48784,                0.92005,               0.009142,               0.009142,               0.009142
                     16,                0.08001,                0.08683,                0.78096,                0.98821,                0.98388,                0.99333,                0.88006,                0.53035,                0.41296,                0.92008,               0.009076,               0.009076,               0.009076
                     17,                0.07913,                0.08481,                0.78079,                0.93615,                 0.9887,                0.98266,                0.87004,                0.51872,                0.50347,                0.91886,                0.00901,                0.00901,                0.00901
                     18,                0.07821,                0.08368,                0.78064,                0.97441,                0.98565,                 0.9914,                0.87304,                0.53406,                0.44112,                 0.9275,               0.008944,               0.008944,               0.008944
                     19,                0.07751,                0.08271,                0.78049,                0.98691,                0.98708,                0.99388,                0.88234,                0.52154,                0.40661,                0.92918,               0.008878,               0.008878,               0.008878
                     20,                0.07661,                0.08194,                0.78039,                0.98372,                0.98588,                0.99329,                0.88108,                0.52838,                0.43124,                0.93663,               0.008812,               0.008812,               0.008812
                     21,                  0.076,                0.08139,                0.78026,                0.98638,                0.98576,                0.99321,                0.87778,                0.53327,                0.44294,                0.92874,               0.008746,               0.008746,               0.008746
                     22,                0.07569,                0.08071,                0.78019,                0.99036,                0.99005,                0.99442,                 0.8876,                0.49939,                0.35881,                0.92991,                0.00868,                0.00868,                0.00868
                     23,                0.07534,                0.07955,                0.78014,                0.99105,                  0.989,                0.99365,                0.88325,                0.51644,                0.37759,                0.92342,               0.008614,               0.008614,               0.008614
                     24,                0.07452,                0.07841,                0.78002,                0.98629,                0.98977,                0.99374,                0.89268,                0.48856,                0.38805,                0.91433,               0.008548,               0.008548,               0.008548
                     25,                0.07412,                0.07756,                0.77997,                0.98856,                0.98828,                0.99354,                0.89123,                0.49059,                0.38079,                0.91996,               0.008482,               0.008482,               0.008482
                     26,                0.07399,                0.07761,                0.77991,                0.98446,                0.98613,                0.99343,                0.89251,                0.48862,                0.40675,                 0.9093,               0.008416,               0.008416,               0.008416
                     27,                0.07327,                0.07735,                 0.7798,                0.98687,                0.98469,                0.99337,                0.88926,                0.50388,                0.43608,                0.92188,                0.00835,                0.00835,                0.00835
                     28,                0.07295,                0.07602,                0.77976,                0.98617,                0.98391,                 0.9932,                0.88802,                0.51026,                0.42305,                0.92222,               0.008284,               0.008284,               0.008284
                     29,                0.07253,                0.07621,                0.77971,                0.93993,                 0.9824,                0.99103,                0.88196,                 0.5173,                0.48666,                0.93017,               0.008218,               0.008218,               0.008218
                     30,                0.07199,                0.07587,                 0.7796,                0.95554,                0.98435,                0.99314,                0.88254,                0.51975,                0.46524,                0.93146,               0.008152,               0.008152,               0.008152
                     31,                0.07188,                0.07497,                0.77959,                0.96017,                0.98624,                0.99295,                0.89097,                  0.502,                0.44595,                0.92152,               0.008086,               0.008086,               0.008086
                     32,                 0.0716,                0.07409,                0.77952,                0.98409,                0.98726,                0.99338,                0.89321,                0.50288,                0.42912,                0.91985,                0.00802,                0.00802,                0.00802
                     33,                0.07128,                0.07425,                0.77951,                0.98869,                0.98914,                0.99387,                 0.8895,                 0.5053,                0.40419,                 0.9254,               0.007954,               0.007954,               0.007954
                     34,                0.07095,                0.07369,                0.77947,                0.98903,                0.98817,                0.99362,                0.88673,                0.50878,                 0.3959,                0.92987,               0.007888,               0.007888,               0.007888
                     35,                0.07073,                 0.0728,                 0.7794,                0.98642,                 0.9871,                0.99363,                0.88592,                0.51308,                0.40964,                0.93309,               0.007822,               0.007822,               0.007822
