                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66958,                 1.1142,                0.86273,                0.97976,                 0.9797,                0.99255,                0.93267,                 0.3584,                0.43947,                0.71623,              0.0002373,              0.0002373,              0.0002373
                      2,                0.42087,                 0.3947,                0.79985,                0.98755,                0.98582,                0.99439,                0.94834,                0.31657,                0.33819,                0.70461,             0.00046589,             0.00046589,             0.00046589
                      3,                0.40041,                0.35767,                0.79797,                0.99613,                0.96707,                0.99457,                0.93728,                0.33166,                 0.9845,                0.70741,             0.00068505,             0.00068505,             0.00068505
                      4,                0.38619,                0.32415,                0.79319,                0.98219,                0.95744,                 0.9936,                0.94851,                 0.3232,                0.72098,                0.70485,             0.00067159,             0.00067159,             0.00067159
                      5,                0.37159,                0.30963,                0.79435,                0.95043,                0.95868,                 0.9943,                0.95375,                0.31253,                 1.6323,                0.70239,             0.00067159,             0.00067159,             0.00067159
                      6,                0.36219,                0.29844,                0.79163,                 0.9868,                0.98967,                 0.9941,                0.94505,                0.32586,                0.33227,                0.70479,             0.00065745,             0.00065745,             0.00065745
                      7,                 0.3559,                0.29099,                0.79038,                0.90562,                0.96669,                0.99193,                0.94663,                0.30945,                0.79617,                0.70364,             0.00064331,             0.00064331,             0.00064331
                      8,                0.35186,                0.27629,                0.79074,                0.93361,                0.97033,                0.98949,                0.94192,                 0.3136,                 1.2388,                0.70285,             0.00062918,             0.00062918,             0.00062918
                      9,                0.34492,                0.26789,                0.78975,                0.95655,                0.96791,                0.98696,                0.94581,                0.29447,                0.83538,                0.70106,             0.00061504,             0.00061504,             0.00061504
                     10,                0.34241,                0.26678,                0.78752,                0.89645,                0.99115,                0.99093,                0.95838,                 0.2906,                   1.44,                0.70057,              0.0006009,              0.0006009,              0.0006009
                     11,                0.33907,                0.26472,                0.78793,                0.91804,                0.96683,                0.97875,                 0.9428,                0.29664,                0.93625,                0.69974,             0.00058677,             0.00058677,             0.00058677
                     12,                0.34016,                0.25714,                 0.7903,                0.90176,                0.97426,                0.97667,                0.94125,                0.28516,                 1.1372,                0.69995,             0.00057263,             0.00057263,             0.00057263
                     13,                0.33585,                0.25341,                0.78677,                0.89272,                0.98879,                 0.9753,                0.93801,                0.29185,                 1.2554,                0.69995,             0.00055849,             0.00055849,             0.00055849
                     14,                 0.3323,                 0.2495,                 0.7868,                0.89989,                0.98672,                0.97645,                 0.9459,                 0.2767,                 1.0415,                0.69732,             0.00054435,             0.00054435,             0.00054435
                     15,                0.33282,                0.25108,                0.78638,                0.90249,                0.98056,                0.99191,                0.95822,                0.28931,                 1.2064,                0.69974,             0.00053022,             0.00053022,             0.00053022
                     16,                0.33015,                0.24609,                0.78633,                0.93667,                0.97819,                0.98733,                0.94943,                0.28605,                0.67077,                 0.6992,             0.00051608,             0.00051608,             0.00051608
                     17,                0.33039,                0.24139,                0.78677,                0.89639,                0.98714,                0.96229,                0.92919,                0.28082,                 1.0344,                0.69915,             0.00050194,             0.00050194,             0.00050194
                     18,                0.32682,                 0.2379,                0.78579,                0.96981,                0.98078,                0.99376,                 0.9629,                 0.2834,                0.92224,                 0.6984,              0.0004878,              0.0004878,              0.0004878
