                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77541,                0.92363,                0.90941,                 0.9838,                0.97553,                0.99323,                0.90438,                0.43998,                0.32856,                0.78103,              0.0033309,              0.0033309,              0.0033309
                      2,                0.53245,                0.41396,                0.84291,                0.99112,                0.96791,                 0.9923,                0.93405,                0.36475,                 0.4497,                0.77221,              0.0064443,              0.0064443,              0.0064443
                      3,                0.50331,                0.38956,                0.83975,                 0.9946,                0.96837,                0.99313,                0.94103,                 0.3423,                0.73659,                0.76809,              0.0093377,              0.0093377,              0.0093377
                      4,                0.45876,                0.35902,                0.83032,                0.99458,                0.96226,                0.99024,                0.94631,                0.33118,                0.68497,                 0.7653,                0.00901,                0.00901,                0.00901
                      5,                 0.4222,                0.32833,                0.82227,                0.99132,                0.98457,                 0.9941,                0.95657,                0.30834,                0.58348,                0.75991,                0.00901,                0.00901,                0.00901
                      6,                0.39974,                0.30976,                0.81727,                0.99541,                0.97775,                0.99345,                0.96026,                0.29362,                 1.0439,                0.75721,                0.00868,                0.00868,                0.00868
                      7,                0.38328,                0.29931,                0.81377,                0.99328,                0.98497,                0.99395,                0.96106,                0.28661,                0.61649,                0.75641,                0.00835,                0.00835,                0.00835
                      8,                0.36973,                0.29025,                0.81091,                0.99281,                0.97966,                0.99308,                0.96634,                0.27482,                 1.0029,                0.75346,                0.00802,                0.00802,                0.00802
                      9,                0.35721,                0.28256,                0.80888,                0.99462,                0.97937,                0.99442,                0.96978,                0.26763,                 1.3194,                0.75257,                0.00769,                0.00769,                0.00769
                     10,                0.34574,                0.27539,                0.80676,                0.99779,                0.98297,                0.99461,                0.97333,                0.25693,                0.73078,                0.75209,                0.00736,                0.00736,                0.00736
                     11,                0.33277,                0.26854,                0.80436,                 0.9951,                0.99139,                0.99454,                0.97255,                0.26449,                0.49799,                0.75391,                0.00703,                0.00703,                0.00703
                     12,                0.32294,                0.26386,                0.80307,                0.99501,                0.99059,                0.99423,                0.97719,                0.24139,                0.49266,                0.75068,                 0.0067,                 0.0067,                 0.0067
                     13,                0.31096,                0.25421,                0.80088,                0.99602,                0.98341,                0.99353,                0.97835,                0.23579,                0.75995,                 0.7494,                0.00637,                0.00637,                0.00637
                     14,                0.30005,                0.24928,                0.79898,                0.99775,                0.98762,                0.99427,                0.98193,                 0.2224,                0.71816,                0.74888,                0.00604,                0.00604,                0.00604
                     15,                0.29003,                0.24243,                0.79803,                0.99657,                0.99302,                0.99475,                 0.9822,                0.22049,                0.31988,                0.74878,                0.00571,                0.00571,                0.00571
                     16,                0.28112,                0.23924,                0.79708,                0.99653,                0.99381,                0.99464,                0.98619,                0.20352,                0.35506,                0.74691,                0.00538,                0.00538,                0.00538
                     17,                0.27284,                0.23427,                0.79576,                0.99638,                 0.9953,                 0.9946,                0.98702,                0.19714,                0.13778,                0.74613,                0.00505,                0.00505,                0.00505
                     18,                0.26577,                0.22966,                0.79402,                0.99683,                0.99481,                 0.9947,                0.98817,                0.19296,                0.15056,                0.74551,                0.00472,                0.00472,                0.00472
                     19,                0.25884,                0.22532,                0.79411,                0.99597,                0.99598,                0.99454,                0.98857,                0.19124,                0.12945,                0.74535,                0.00439,                0.00439,                0.00439
                     20,                 0.2523,                0.22107,                 0.7936,                0.99671,                0.99398,                0.99457,                 0.9882,                0.19347,                0.27442,                0.74507,                0.00406,                0.00406,                0.00406
                     21,                0.12522,                0.09947,                0.73992,                0.99635,                0.98314,                0.99374,                0.97787,                0.25832,                0.54639,                0.75607,                0.00373,                0.00373,                0.00373
                     22,                0.08742,                0.07995,                0.73822,                0.99808,                0.98644,                0.99429,                0.97696,                0.27138,                0.43704,                0.75791,                 0.0034,                 0.0034,                 0.0034
                     23,                0.07787,                0.07242,                0.73748,                0.99775,                0.98263,                0.99319,                0.97345,                0.27737,                 0.4568,                0.75966,                0.00307,                0.00307,                0.00307
                     24,                0.07251,                0.06736,                0.73692,                0.99742,                0.98659,                0.99353,                0.97518,                0.27448,                 0.4424,                0.75851,                0.00274,                0.00274,                0.00274
                     25,                0.06888,                0.06396,                0.73648,                0.99727,                0.98348,                0.99317,                0.97365,                0.27712,                0.46062,                0.75928,                0.00241,                0.00241,                0.00241
                     26,                0.06617,                 0.0613,                0.73598,                0.99698,                0.98201,                0.99292,                0.97198,                0.27825,                0.43468,                0.75951,                0.00208,                0.00208,                0.00208
                     27,                 0.0643,                0.05927,                0.73553,                0.99692,                0.98093,                 0.9929,                0.97125,                0.28055,                 0.4229,                0.75985,                0.00175,                0.00175,                0.00175
                     28,                0.06258,                0.05724,                0.73512,                0.99651,                0.97889,                0.99236,                0.96945,                0.28206,                0.44164,                0.76032,                0.00142,                0.00142,                0.00142
                     29,                0.06128,                0.05552,                0.73471,                0.99516,                0.97762,                0.99208,                0.96837,                0.28421,                0.42901,                0.76064,                0.00109,                0.00109,                0.00109
                     30,                0.06032,                0.05407,                0.73433,                0.99385,                0.97728,                0.99193,                0.96828,                0.28496,                 0.4207,                0.76078,                0.00076,                0.00076,                0.00076
