                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64326,                0.69979,                0.88719,                 0.9915,                0.97697,                0.99429,                0.94024,                0.34223,                0.69209,                0.76055,             0.00023782,             0.00023782,             0.00023782
                      2,                0.42522,                0.34418,                0.82183,                0.99291,                0.98876,                0.99406,                 0.9494,                0.31056,                0.59568,                0.75611,             0.00045698,             0.00045698,             0.00045698
                      3,                0.40182,                0.31646,                0.81674,                0.99417,                0.97168,                0.99411,                0.94948,                0.31158,                0.57995,                 0.7563,             0.00065729,             0.00065729,             0.00065729
                      4,                0.38455,                0.30311,                0.81382,                0.99752,                0.98028,                0.99413,                0.95426,                 0.2988,                0.77083,                0.75415,             0.00062918,             0.00062918,             0.00062918
                      5,                0.36813,                0.28856,                0.81098,                0.99762,                 0.9827,                0.99398,                 0.9644,                0.26758,                0.57822,                0.75072,             0.00062918,             0.00062918,             0.00062918
                      6,                0.35332,                0.27656,                0.80888,                0.96149,                0.98223,                0.99419,                0.96418,                 0.2695,                  1.193,                0.75093,              0.0006009,              0.0006009,              0.0006009
                      7,                0.34205,                0.26996,                0.80727,                0.99817,                0.98623,                0.99482,                0.97208,                 0.2527,                 1.0173,                0.74954,             0.00057263,             0.00057263,             0.00057263
                      8,                 0.3318,                 0.2624,                0.80593,                0.95754,                0.98633,                0.99478,                0.97318,                0.24845,                0.76088,                0.74939,             0.00054435,             0.00054435,             0.00054435
                      9,                0.32221,                0.25626,                0.80506,                0.99666,                0.98971,                 0.9945,                0.97585,                0.24013,                0.48351,                0.74843,             0.00051608,             0.00051608,             0.00051608
                     10,                0.31496,                0.25108,                0.80419,                0.99742,                0.98893,                0.99465,                0.97836,                0.22829,                0.61911,                0.74782,              0.0004878,              0.0004878,              0.0004878
                     11,                0.30736,                0.24549,                0.80301,                0.95377,                0.98597,                  0.994,                0.97993,                0.22461,                 0.6287,                0.74753,             0.00045953,             0.00045953,             0.00045953
                     12,                0.30147,                0.24317,                0.80258,                0.99208,                0.98761,                 0.9945,                0.98168,                0.21732,                 1.1131,                 0.7467,             0.00043126,             0.00043126,             0.00043126
                     13,                0.29446,                0.23844,                0.80181,                0.99823,                0.99026,                0.99477,                0.98442,                0.20932,                0.80612,                0.74588,             0.00040298,             0.00040298,             0.00040298
                     14,                0.28798,                0.23428,                0.80047,                0.99801,                0.98935,                0.99464,                0.98339,                0.20911,                0.68667,                0.74582,             0.00037471,             0.00037471,             0.00037471
                     15,                0.28365,                0.23221,                0.79986,                0.99776,                0.99001,                0.99438,                0.98481,                0.20417,                0.61552,                0.74569,             0.00034643,             0.00034643,             0.00034643
                     16,                0.14449,                0.11237,                0.73997,                0.99743,                0.99278,                 0.9944,                0.97524,                  0.223,                0.32862,                0.74452,             0.00031816,             0.00031816,             0.00031816
                     17,                0.08116,                0.07577,                 0.7352,                0.99785,                0.99403,                0.99433,                0.96523,                 0.2595,                0.35697,                0.74953,             0.00028988,             0.00028988,             0.00028988
                     18,                 0.0695,                0.06532,                0.73433,                 0.9975,                0.99351,                0.99426,                 0.9524,                0.29349,                0.34637,                0.75736,             0.00026161,             0.00026161,             0.00026161
                     19,                0.06479,                0.05963,                  0.734,                0.99726,                0.99459,                0.99428,                0.94264,                0.32305,                0.37296,                0.76462,             0.00023334,             0.00023334,             0.00023334
                     20,                0.06274,                0.05765,                0.73387,                0.99698,                0.99506,                0.99404,                0.93774,                 0.3374,                0.32906,                0.76812,             0.00020506,             0.00020506,             0.00020506
                     21,                 0.0614,                0.05567,                0.73378,                0.99738,                 0.9945,                0.99411,                0.93234,                0.35206,                0.32998,                0.77455,             0.00017679,             0.00017679,             0.00017679
                     22,                0.06054,                0.05431,                 0.7337,                0.99688,                0.99507,                0.99401,                0.92935,                0.35827,                0.28755,                0.77761,             0.00014851,             0.00014851,             0.00014851
                     23,                0.05983,                0.05314,                0.73364,                0.99731,                0.99508,                0.99404,                0.92565,                0.36928,                0.30874,                0.78147,             0.00012024,             0.00012024,             0.00012024
                     24,                0.05943,                0.05288,                0.73359,                0.99694,                0.99539,                0.99405,                0.92483,                0.37163,                0.28002,                0.78321,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.05908,                0.05234,                0.73356,                0.99711,                0.99558,                0.99409,                 0.9226,                0.37736,                0.27608,                0.78663,             6.3689e-05,             6.3689e-05,             6.3689e-05
