                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0811,                 1.5555,                 1.4797,                0.84064,                0.75687,                0.85094,                0.63372,                0.95112,                 1.6618,                 1.2063,              0.0033309,              0.0033309,              0.0033309
                      2,                0.51448,                0.53656,                0.86165,                0.95291,                 0.8168,                0.93517,                0.72119,                0.85964,                 1.2208,                 1.0662,              0.0064993,              0.0064993,              0.0064993
                      3,                0.45888,                0.44452,                0.83132,                0.84007,                0.81084,                0.86507,                0.69202,                 0.7802,                 1.3191,                 1.0323,              0.0095027,              0.0095027,              0.0095027
                      4,                0.34985,                0.32547,                0.78898,                0.83796,                0.82544,                0.86874,                0.67583,                0.80278,                 2.6474,                 1.1475,              0.0092575,              0.0092575,              0.0092575
                      5,                 0.2606,                0.23245,                0.75809,                0.91573,                  0.778,                0.91446,                 0.7816,                0.56875,                 1.5884,                0.98457,              0.0092575,              0.0092575,              0.0092575
                      6,                0.20355,                0.18705,                0.74265,                0.86258,                0.85383,                0.89358,                0.77625,                0.55315,                 1.5679,                0.96774,                0.00901,                0.00901,                0.00901
                      7,                 0.1461,                0.14963,                0.73091,                0.87338,                0.90589,                0.91059,                0.81256,                0.47765,                 1.0659,                0.89043,              0.0087625,              0.0087625,              0.0087625
                      8,                0.11304,                0.12272,                0.72508,                0.90488,                0.89069,                0.92283,                0.80608,                0.50692,                0.88393,                0.90254,               0.008515,               0.008515,               0.008515
                      9,                0.10019,                0.10835,                0.72249,                0.93132,                0.90692,                 0.9506,                 0.8371,                0.48369,                0.68678,                0.89927,              0.0082675,              0.0082675,              0.0082675
                     10,                0.09296,                0.10019,                0.72093,                0.95589,                0.91051,                0.97142,                0.87002,                0.45979,                0.52814,                0.88164,                0.00802,                0.00802,                0.00802
                     11,                0.08708,                0.09333,                0.71963,                0.97184,                0.91724,                0.97165,                0.85649,                0.49217,                0.51719,                  0.909,              0.0077725,              0.0077725,              0.0077725
                     12,                0.08303,                0.08764,                 0.7188,                0.97136,                0.91148,                0.97652,                0.87682,                 0.4619,                0.45008,                0.89667,               0.007525,               0.007525,               0.007525
                     13,                0.07975,                0.08354,                0.71813,                0.95232,                 0.9301,                0.97696,                0.88295,                0.45203,                0.48626,                 0.8992,              0.0072775,              0.0072775,              0.0072775
                     14,                0.07716,                0.07966,                0.71742,                0.97228,                0.92964,                0.97977,                0.88036,                0.46332,                0.48062,                0.91574,                0.00703,                0.00703,                0.00703
                     15,                0.07537,                0.07747,                0.71707,                0.97685,                0.93505,                0.98179,                0.88271,                0.46463,                0.45533,                0.91639,              0.0067825,              0.0067825,              0.0067825
                     16,                0.07294,                0.07412,                0.71659,                0.97586,                0.93142,                   0.98,                0.87668,                0.47935,                 0.4555,                0.92875,               0.006535,               0.006535,               0.006535
                     17,                0.07161,                0.07213,                0.71624,                0.98263,                0.94343,                0.98576,                0.88681,                0.46643,                0.45644,                 0.9297,              0.0062875,              0.0062875,              0.0062875
                     18,                0.06996,                0.06942,                0.71593,                0.97262,                0.93007,                0.98118,                0.87584,                0.48058,                0.54139,                0.94724,                0.00604,                0.00604,                0.00604
                     19,                 0.0689,                0.06701,                0.71559,                0.98013,                0.93067,                0.98008,                0.87288,                0.48597,                0.50935,                0.95458,              0.0057925,              0.0057925,              0.0057925
